nwb_path,n_pfc_units,n_sens_units
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/664851_2023-11-16.nwb,504,56
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/699847_2024-04-18.nwb,577,18
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/703880_2024-04-17.nwb,324,100
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/708016_2024-04-30.nwb,191,49
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/667252_2023-09-26.nwb,85,106
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/737403_2024-09-24.nwb,507,38
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/733891_2024-09-17.nwb,347,54
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/676909_2023-12-12.nwb,723,65
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/703333_2024-04-09.nwb,384,68
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/702136_2024-03-05.nwb,9,17
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/674562_2023-10-04.nwb,1168,140
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/703880_2024-04-15.nwb,88,56
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/690706_2023-11-29.nwb,30,38
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/690706_2023-11-27.nwb,683,64
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/667252_2023-09-28.nwb,171,77
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/715710_2024-07-18.nwb,965,127
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/714748_2024-06-25.nwb,294,26
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/681532_2023-10-16.nwb,1240,185
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/676909_2023-12-11.nwb,816,95
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/744279_2025-01-13.nwb,436,100
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/703882_2024-04-24.nwb,429,21
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/744279_2025-01-15.nwb,86,21
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/759434_2025-02-07.nwb,171,59
s3://aind-scratch-data/dynamic-routing/cache/nwb/v0.0.273/676909_2023-12-14.nwb,1016,110
